22:15:49.704453 IP 192.168.0.113.42316 > ubuntu.0: Flags [S], seq 1561476481, win 512, length 0
22:15:49.732830 IP 192.168.0.113.44816 > ubuntu.0: Flags [S], seq 943658152, win 512, length 0
22:15:49.732832 IP 192.168.0.113.44817 > ubuntu.0: Flags [S], seq 1925202632, win 512, length 0
22:15:49.732833 IP 192.168.0.113.44818 > ubuntu.0: Flags [S], seq 864599998, win 512, length 0
22:15:49.732834 IP 192.168.0.113.44819 > ubuntu.0: Flags [S], seq 1949422558, win 512, length 0
22:15:49.732836 IP 192.168.0.113.44820 > ubuntu.0: Flags [S], seq 1703038217, win 512, length 0
22:15:49.732837 IP 192.168.0.113.44821 > ubuntu.0: Flags [S], seq 823714191, win 512, length 0
22:15:49.732838 IP 192.168.0.113.44822 > ubuntu.0: Flags [S], seq 1708532151, win 512, length 0
22:15:49.732839 IP 192.168.0.113.44823 > ubuntu.0: Flags [S], seq 1421873969, win 512, length 0
22:15:49.732915 IP 192.168.0.113.44824 > ubuntu.0: Flags [S], seq 2003080844, win 512, length 0
22:15:49.732935 IP 192.168.0.113.44825 > ubuntu.0: Flags [S], seq 2032193861, win 512, length 0
22:15:49.732940 IP 192.168.0.113.44826 > ubuntu.0: Flags [S], seq 1748598929, win 512, length 0
22:15:49.732942 IP 192.168.0.113.44827 > ubuntu.0: Flags [S], seq 849624999, win 512, length 0
22:15:49.732944 IP 192.168.0.113.44828 > ubuntu.0: Flags [S], seq 2080839511, win 512, length 0
22:15:49.732946 IP 192.168.0.113.44829 > ubuntu.0: Flags [S], seq 1806044955, win 512, length 0
22:15:49.732948 IP 192.168.0.113.44830 > ubuntu.0: Flags [S], seq 355197085, win 512, length 0
22:15:49.732950 IP 192.168.0.113.44831 > ubuntu.0: Flags [S], seq 538310119, win 512, length 0
22:15:49.732952 IP 192.168.0.113.44832 > ubuntu.0: Flags [S], seq 641311270, win 512, length 0
22:15:49.732954 IP 192.168.0.113.44833 > ubuntu.0: Flags [S], seq 1043101886, win 512, length 0
22:15:49.732957 IP 192.168.0.113.44834 > ubuntu.0: Flags [S], seq 494570647, win 512, length 0
22:15:49.732960 IP 192.168.0.113.44835 > ubuntu.0: Flags [S], seq 1501283993, win 512, length 0
22:15:49.732962 IP 192.168.0.113.44836 > ubuntu.0: Flags [S], seq 2086901925, win 512, length 0
22:15:49.732964 IP 192.168.0.113.44837 > ubuntu.0: Flags [S], seq 51616711, win 512, length 0
22:15:49.732966 IP 192.168.0.113.44838 > ubuntu.0: Flags [S], seq 2069154071, win 512, length 0
22:15:49.732968 IP 192.168.0.113.44839 > ubuntu.0: Flags [S], seq 781720110, win 512, length 0
22:15:49.733002 IP 192.168.0.113.44840 > ubuntu.0: Flags [S], seq 623249794, win 512, length 0
22:15:49.733005 IP 192.168.0.113.44841 > ubuntu.0: Flags [S], seq 203857491, win 512, length 0
22:15:49.733007 IP 192.168.0.113.44842 > ubuntu.0: Flags [S], seq 1159698617, win 512, length 0
22:15:49.733009 IP 192.168.0.113.44843 > ubuntu.0: Flags [S], seq 688879115, win 512, length 0
22:15:49.733011 IP 192.168.0.113.44844 > ubuntu.0: Flags [S], seq 455435199, win 512, length 0
22:15:49.733012 IP 192.168.0.113.44845 > ubuntu.0: Flags [S], seq 2000528155, win 512, length 0
22:15:49.733013 IP 192.168.0.113.44846 > ubuntu.0: Flags [S], seq 907358803, win 512, length 0
22:15:49.733014 IP 192.168.0.113.47343 > ubuntu.0: Flags [S], seq 120829041, win 512, length 0
22:15:49.733016 IP 192.168.0.113.47344 > ubuntu.0: Flags [S], seq 1067165340, win 512, length 0
22:15:49.733017 IP 192.168.0.113.47345 > ubuntu.0: Flags [S], seq 689733337, win 512, length 0
22:15:49.733019 IP 192.168.0.113.47346 > ubuntu.0: Flags [S], seq 1968025114, win 512, length 0
22:15:49.733020 IP 192.168.0.113.47347 > ubuntu.0: Flags [S], seq 1850687766, win 512, length 0
22:15:49.733022 IP 192.168.0.113.47348 > ubuntu.0: Flags [S], seq 544492971, win 512, length 0
22:15:49.733024 IP 192.168.0.113.47349 > ubuntu.0: Flags [S], seq 94904479, win 512, length 0
22:15:49.733025 IP 192.168.0.113.47350 > ubuntu.0: Flags [S], seq 1279973544, win 512, length 0
22:15:49.733027 IP 192.168.0.113.47351 > ubuntu.0: Flags [S], seq 905831660, win 512, length 0
22:15:49.733029 IP 192.168.0.113.47352 > ubuntu.0: Flags [S], seq 813505523, win 512, length 0
22:15:49.733030 IP 192.168.0.113.47353 > ubuntu.0: Flags [S], seq 1824322060, win 512, length 0
22:15:49.733032 IP 192.168.0.113.47354 > ubuntu.0: Flags [S], seq 1922616105, win 512, length 0
22:15:49.733034 IP 192.168.0.113.47355 > ubuntu.0: Flags [S], seq 279538933, win 512, length 0
22:15:49.733035 IP 192.168.0.113.47356 > ubuntu.0: Flags [S], seq 1996849858, win 512, length 0
22:15:49.733037 IP 192.168.0.113.47357 > ubuntu.0: Flags [S], seq 505052049, win 512, length 0
22:15:49.733038 IP 192.168.0.113.47358 > ubuntu.0: Flags [S], seq 1134118423, win 512, length 0
22:15:49.733039 IP 192.168.0.113.47359 > ubuntu.0: Flags [S], seq 1769676857, win 512, length 0
22:15:49.733041 IP 192.168.0.113.47360 > ubuntu.0: Flags [S], seq 504044229, win 512, length 0
22:15:49.733124 IP 192.168.0.113.47361 > ubuntu.0: Flags [S], seq 1941397338, win 512, length 0
22:15:49.733131 IP 192.168.0.113.47362 > ubuntu.0: Flags [S], seq 502658737, win 512, length 0
22:15:49.733133 IP 192.168.0.113.47363 > ubuntu.0: Flags [S], seq 524525454, win 512, length 0
22:15:49.733134 IP 192.168.0.113.47364 > ubuntu.0: Flags [S], seq 1300278846, win 512, length 0
22:15:49.743348 IP 192.168.0.113.47365 > ubuntu.0: Flags [S], seq 1768940035, win 512, length 0
22:15:49.743365 IP 192.168.0.113.47366 > ubuntu.0: Flags [S], seq 1507484864, win 512, length 0
22:15:49.743367 IP 192.168.0.113.47367 > ubuntu.0: Flags [S], seq 908426677, win 512, length 0
22:15:49.743368 IP 192.168.0.113.47368 > ubuntu.0: Flags [S], seq 1198185669, win 512, length 0
22:15:49.743370 IP 192.168.0.113.47369 > ubuntu.0: Flags [S], seq 688335149, win 512, length 0
22:15:49.743371 IP 192.168.0.113.47370 > ubuntu.0: Flags [S], seq 539974944, win 512, length 0
22:15:49.743373 IP 192.168.0.113.47371 > ubuntu.0: Flags [S], seq 597707969, win 512, length 0
22:15:49.743389 IP 192.168.0.113.47372 > ubuntu.0: Flags [S], seq 1135995166, win 512, length 0
22:15:49.743391 IP 192.168.0.113.47373 > ubuntu.0: Flags [S], seq 905935443, win 512, length 0
22:15:49.743392 IP 192.168.0.113.47374 > ubuntu.0: Flags [S], seq 28357843, win 512, length 0
22:15:49.743393 IP 192.168.0.113.47375 > ubuntu.0: Flags [S], seq 1717911353, win 512, length 0
22:15:49.743395 IP 192.168.0.113.47376 > ubuntu.0: Flags [S], seq 221878366, win 512, length 0
22:15:49.743396 IP 192.168.0.113.47392 > ubuntu.0: Flags [S], seq 140487707, win 512, length 0
22:15:49.743398 IP 192.168.0.113.47393 > ubuntu.0: Flags [S], seq 247858244, win 512, length 0
22:15:49.743400 IP 192.168.0.113.47394 > ubuntu.0: Flags [S], seq 351994204, win 512, length 0
22:15:49.743476 IP 192.168.0.113.47395 > ubuntu.0: Flags [S], seq 1753174434, win 512, length 0
22:15:49.743533 IP 192.168.0.113.47396 > ubuntu.0: Flags [S], seq 1925371672, win 512, length 0
22:15:49.743538 IP 192.168.0.113.47397 > ubuntu.0: Flags [S], seq 228587136, win 512, length 0
22:15:49.743539 IP 192.168.0.113.47398 > ubuntu.0: Flags [S], seq 1866214797, win 512, length 0
22:15:49.743541 IP 192.168.0.113.47399 > ubuntu.0: Flags [S], seq 1593989382, win 512, length 0
22:15:49.743543 IP 192.168.0.113.47400 > ubuntu.0: Flags [S], seq 100246040, win 512, length 0
22:15:49.743544 IP 192.168.0.113.47401 > ubuntu.0: Flags [S], seq 72443363, win 512, length 0
22:15:49.743546 IP 192.168.0.113.47402 > ubuntu.0: Flags [S], seq 2108289321, win 512, length 0
22:15:49.743547 IP 192.168.0.113.47403 > ubuntu.0: Flags [S], seq 901328135, win 512, length 0
22:15:49.743548 IP 192.168.0.113.47404 > ubuntu.0: Flags [S], seq 1652462545, win 512, length 0
22:15:49.743550 IP 192.168.0.113.47405 > ubuntu.0: Flags [S], seq 95083098, win 512, length 0
22:15:49.743551 IP 192.168.0.113.47406 > ubuntu.0: Flags [S], seq 94584795, win 512, length 0
22:15:49.743553 IP 192.168.0.113.47407 > ubuntu.0: Flags [S], seq 1872846002, win 512, length 0
22:15:49.743555 IP 192.168.0.113.47408 > ubuntu.0: Flags [S], seq 790667070, win 512, length 0
22:15:49.743556 IP 192.168.0.113.47409 > ubuntu.0: Flags [S], seq 865798601, win 512, length 0
22:15:49.743558 IP 192.168.0.113.47410 > ubuntu.0: Flags [S], seq 918175274, win 512, length 0
22:15:49.743560 IP 192.168.0.113.47411 > ubuntu.0: Flags [S], seq 137406970, win 512, length 0
22:15:49.743562 IP 192.168.0.113.47412 > ubuntu.0: Flags [S], seq 635276151, win 512, length 0
22:15:49.743564 IP 192.168.0.113.47413 > ubuntu.0: Flags [S], seq 166648661, win 512, length 0
22:15:49.743565 IP 192.168.0.113.47414 > ubuntu.0: Flags [S], seq 696275582, win 512, length 0
22:15:49.743566 IP 192.168.0.113.47415 > ubuntu.0: Flags [S], seq 1610047969, win 512, length 0
22:15:49.743567 IP 192.168.0.113.47416 > ubuntu.0: Flags [S], seq 1291318634, win 512, length 0
22:15:49.743569 IP 192.168.0.113.47417 > ubuntu.0: Flags [S], seq 1124246511, win 512, length 0
22:15:49.743570 IP 192.168.0.113.47418 > ubuntu.0: Flags [S], seq 756572639, win 512, length 0
22:15:49.743571 IP 192.168.0.113.47419 > ubuntu.0: Flags [S], seq 309899138, win 512, length 0
22:15:49.743573 IP 192.168.0.113.47420 > ubuntu.0: Flags [S], seq 1576602963, win 512, length 0
22:15:49.743574 IP 192.168.0.113.47855 > ubuntu.0: Flags [S], seq 1080816935, win 512, length 0
22:15:49.743576 IP 192.168.0.113.47856 > ubuntu.0: Flags [S], seq 1848185801, win 512, length 0
22:15:49.743577 IP 192.168.0.113.47857 > ubuntu.0: Flags [S], seq 491255369, win 512, length 0
22:15:49.743578 IP 192.168.0.113.47858 > ubuntu.0: Flags [S], seq 1570252608, win 512, length 0
22:15:49.743579 IP 192.168.0.113.47859 > ubuntu.0: Flags [S], seq 1732684038, win 512, length 0
22:15:49.743581 IP 192.168.0.113.47860 > ubuntu.0: Flags [S], seq 341156636, win 512, length 0
22:15:49.743582 IP 192.168.0.113.47861 > ubuntu.0: Flags [S], seq 1327632680, win 512, length 0
22:15:49.743584 IP 192.168.0.113.47862 > ubuntu.0: Flags [S], seq 1899919725, win 512, length 0
22:15:49.743585 IP 192.168.0.113.47863 > ubuntu.0: Flags [S], seq 360988373, win 512, length 0
22:15:49.743587 IP 192.168.0.113.47864 > ubuntu.0: Flags [S], seq 1281699032, win 512, length 0
22:15:49.743588 IP 192.168.0.113.47865 > ubuntu.0: Flags [S], seq 346376379, win 512, length 0
22:15:49.743590 IP 192.168.0.113.47866 > ubuntu.0: Flags [S], seq 50047715, win 512, length 0
22:15:49.743591 IP 192.168.0.113.47867 > ubuntu.0: Flags [S], seq 944067827, win 512, length 0
22:15:49.743592 IP 192.168.0.113.47868 > ubuntu.0: Flags [S], seq 1215885308, win 512, length 0
22:15:49.743593 IP 192.168.0.113.47869 > ubuntu.0: Flags [S], seq 1714051210, win 512, length 0
22:15:49.743595 IP 192.168.0.113.47870 > ubuntu.0: Flags [S], seq 130869651, win 512, length 0
22:15:49.743596 IP 192.168.0.113.47871 > ubuntu.0: Flags [S], seq 1082614983, win 512, length 0
22:15:49.743597 IP 192.168.0.113.47872 > ubuntu.0: Flags [S], seq 1577724046, win 512, length 0
22:15:49.743651 IP 192.168.0.113.47873 > ubuntu.0: Flags [S], seq 1722955626, win 512, length 0
22:15:49.743655 IP 192.168.0.113.47874 > ubuntu.0: Flags [S], seq 1619336061, win 512, length 0
22:15:49.750471 IP 192.168.0.113.47875 > ubuntu.0: Flags [S], seq 1974460618, win 512, length 0
22:15:49.750488 IP 192.168.0.113.47876 > ubuntu.0: Flags [S], seq 210879133, win 512, length 0
22:15:49.750490 IP 192.168.0.113.47877 > ubuntu.0: Flags [S], seq 951666874, win 512, length 0
22:15:49.750492 IP 192.168.0.113.47878 > ubuntu.0: Flags [S], seq 1327575899, win 512, length 0
22:15:49.750494 IP 192.168.0.113.47879 > ubuntu.0: Flags [S], seq 332558512, win 512, length 0
22:15:49.750495 IP 192.168.0.113.47880 > ubuntu.0: Flags [S], seq 1245078904, win 512, length 0
22:15:49.750496 IP 192.168.0.113.47881 > ubuntu.0: Flags [S], seq 1170620463, win 512, length 0
22:15:49.750498 IP 192.168.0.113.47882 > ubuntu.0: Flags [S], seq 1232223500, win 512, length 0
22:15:49.750499 IP 192.168.0.113.47883 > ubuntu.0: Flags [S], seq 1289480455, win 512, length 0
22:15:49.750501 IP 192.168.0.113.47884 > ubuntu.0: Flags [S], seq 1501094694, win 512, length 0
22:15:49.750503 IP 192.168.0.113.47885 > ubuntu.0: Flags [S], seq 1322300927, win 512, length 0
22:15:49.750516 IP 192.168.0.113.47886 > ubuntu.0: Flags [S], seq 1833916091, win 512, length 0
22:15:49.750592 IP 192.168.0.113.47887 > ubuntu.0: Flags [S], seq 589158689, win 512, length 0
22:15:49.750688 IP 192.168.0.113.47888 > ubuntu.0: Flags [S], seq 226767740, win 512, length 0
22:15:49.750693 IP 192.168.0.113.47889 > ubuntu.0: Flags [S], seq 169512204, win 512, length 0
22:15:49.750694 IP 192.168.0.113.47890 > ubuntu.0: Flags [S], seq 2592471, win 512, length 0
22:15:49.750698 IP 192.168.0.113.47891 > ubuntu.0: Flags [S], seq 67165177, win 512, length 0
22:15:49.750699 IP 192.168.0.113.47892 > ubuntu.0: Flags [S], seq 1690863002, win 512, length 0
22:15:49.750701 IP 192.168.0.113.47893 > ubuntu.0: Flags [S], seq 331154728, win 512, length 0
22:15:49.750702 IP 192.168.0.113.47894 > ubuntu.0: Flags [S], seq 643996023, win 512, length 0
22:15:49.750703 IP 192.168.0.113.47895 > ubuntu.0: Flags [S], seq 1763602273, win 512, length 0
22:15:49.750705 IP 192.168.0.113.47896 > ubuntu.0: Flags [S], seq 1888866207, win 512, length 0
22:15:49.750706 IP 192.168.0.113.47897 > ubuntu.0: Flags [S], seq 1069835542, win 512, length 0
22:15:49.750708 IP 192.168.0.113.47898 > ubuntu.0: Flags [S], seq 250578105, win 512, length 0
22:15:49.750710 IP 192.168.0.113.47899 > ubuntu.0: Flags [S], seq 646979203, win 512, length 0
22:15:49.750757 IP 192.168.0.113.47900 > ubuntu.0: Flags [S], seq 1825606399, win 512, length 0
22:15:49.750770 IP 192.168.0.113.47901 > ubuntu.0: Flags [S], seq 1769845696, win 512, length 0
22:15:49.750772 IP 192.168.0.113.47902 > ubuntu.0: Flags [S], seq 1562312077, win 512, length 0
22:15:49.750773 IP 192.168.0.113.47903 > ubuntu.0: Flags [S], seq 633245941, win 512, length 0
22:15:49.750775 IP 192.168.0.113.47904 > ubuntu.0: Flags [S], seq 705602914, win 512, length 0
22:15:49.750776 IP 192.168.0.113.47905 > ubuntu.0: Flags [S], seq 1251235410, win 512, length 0
22:15:49.750777 IP 192.168.0.113.47906 > ubuntu.0: Flags [S], seq 2097120398, win 512, length 0
22:15:49.750780 IP 192.168.0.113.47907 > ubuntu.0: Flags [S], seq 1306653363, win 512, length 0
22:15:49.750781 IP 192.168.0.113.47908 > ubuntu.0: Flags [S], seq 1978984828, win 512, length 0
22:15:49.750783 IP 192.168.0.113.47909 > ubuntu.0: Flags [S], seq 1146723396, win 512, length 0
22:15:49.750784 IP 192.168.0.113.47910 > ubuntu.0: Flags [S], seq 1289911226, win 512, length 0
22:15:49.750785 IP 192.168.0.113.47911 > ubuntu.0: Flags [S], seq 1506143574, win 512, length 0
22:15:49.750787 IP 192.168.0.113.47912 > ubuntu.0: Flags [S], seq 818557256, win 512, length 0
22:15:49.750788 IP 192.168.0.113.47913 > ubuntu.0: Flags [S], seq 459375772, win 512, length 0
22:15:49.750789 IP 192.168.0.113.47914 > ubuntu.0: Flags [S], seq 1718079578, win 512, length 0
22:15:49.750790 IP 192.168.0.113.47915 > ubuntu.0: Flags [S], seq 1800796071, win 512, length 0
22:15:49.750792 IP 192.168.0.113.47916 > ubuntu.0: Flags [S], seq 2029826179, win 512, length 0
22:15:49.750793 IP 192.168.0.113.47917 > ubuntu.0: Flags [S], seq 2091602345, win 512, length 0
22:15:49.750795 IP 192.168.0.113.47918 > ubuntu.0: Flags [S], seq 427799610, win 512, length 0
22:15:49.750796 IP 192.168.0.113.47919 > ubuntu.0: Flags [S], seq 1560153012, win 512, length 0
22:15:49.750808 IP 192.168.0.113.47920 > ubuntu.0: Flags [S], seq 1363207458, win 512, length 0
22:15:49.750810 IP 192.168.0.113.47921 > ubuntu.0: Flags [S], seq 1987039068, win 512, length 0
22:15:49.750811 IP 192.168.0.113.47922 > ubuntu.0: Flags [S], seq 1351329371, win 512, length 0
22:15:49.750813 IP 192.168.0.113.47923 > ubuntu.0: Flags [S], seq 1146941371, win 512, length 0
22:15:49.750814 IP 192.168.0.113.47924 > ubuntu.0: Flags [S], seq 1705029794, win 512, length 0
22:15:49.750816 IP 192.168.0.113.47925 > ubuntu.0: Flags [S], seq 1522107017, win 512, length 0
22:15:49.750817 IP 192.168.0.113.47926 > ubuntu.0: Flags [S], seq 214291665, win 512, length 0
22:15:49.750818 IP 192.168.0.113.47927 > ubuntu.0: Flags [S], seq 1817933592, win 512, length 0
22:15:49.750820 IP 192.168.0.113.47928 > ubuntu.0: Flags [S], seq 960417398, win 512, length 0
22:15:49.750821 IP 192.168.0.113.47929 > ubuntu.0: Flags [S], seq 39804836, win 512, length 0
22:15:49.750822 IP 192.168.0.113.47930 > ubuntu.0: Flags [S], seq 1850558756, win 512, length 0
22:15:49.750823 IP 192.168.0.113.47931 > ubuntu.0: Flags [S], seq 1775834613, win 512, length 0
22:15:49.750825 IP 192.168.0.113.47932 > ubuntu.0: Flags [S], seq 1585478104, win 512, length 0
22:15:49.750827 IP 192.168.0.113.47933 > ubuntu.0: Flags [S], seq 694317658, win 512, length 0
22:15:49.750828 IP 192.168.0.113.47934 > ubuntu.0: Flags [S], seq 1883082865, win 512, length 0
22:15:49.750829 IP 192.168.0.113.47935 > ubuntu.0: Flags [S], seq 1562409342, win 512, length 0
22:15:49.762001 IP 192.168.0.113.47936 > ubuntu.0: Flags [S], seq 983532501, win 512, length 0
22:15:49.762020 IP 192.168.0.113.47937 > ubuntu.0: Flags [S], seq 96089090, win 512, length 0
22:15:49.762022 IP 192.168.0.113.47938 > ubuntu.0: Flags [S], seq 206732474, win 512, length 0
22:15:49.762023 IP 192.168.0.113.47939 > ubuntu.0: Flags [S], seq 1146963833, win 512, length 0
22:15:49.762041 IP 192.168.0.113.47940 > ubuntu.0: Flags [S], seq 1916022915, win 512, length 0
22:15:49.762042 IP 192.168.0.113.47941 > ubuntu.0: Flags [S], seq 1656337298, win 512, length 0
22:15:49.762044 IP 192.168.0.113.47942 > ubuntu.0: Flags [S], seq 1874050557, win 512, length 0
22:15:49.762045 IP 192.168.0.113.47943 > ubuntu.0: Flags [S], seq 1240236299, win 512, length 0
22:15:49.762046 IP 192.168.0.113.47944 > ubuntu.0: Flags [S], seq 214270298, win 512, length 0
22:15:49.762048 IP 192.168.0.113.47945 > ubuntu.0: Flags [S], seq 514232132, win 512, length 0
22:15:49.762050 IP 192.168.0.113.47946 > ubuntu.0: Flags [S], seq 1793434223, win 512, length 0
22:15:49.762051 IP 192.168.0.113.47947 > ubuntu.0: Flags [S], seq 1786735454, win 512, length 0
22:15:49.762053 IP 192.168.0.113.47948 > ubuntu.0: Flags [S], seq 438254523, win 512, length 0
22:15:49.762054 IP 192.168.0.113.47949 > ubuntu.0: Flags [S], seq 323274688, win 512, length 0
22:15:49.762056 IP 192.168.0.113.47950 > ubuntu.0: Flags [S], seq 854465313, win 512, length 0
22:15:49.762057 IP 192.168.0.113.47951 > ubuntu.0: Flags [S], seq 1247550208, win 512, length 0
